VO_side0_rm_ruanmei_161|Alright, let me walk you out.
VO_side0_rm_ruanmei_162|Seems like a programming error.
VO_side0_rm_ruanmei_163|It's probably an isolated glitch.
VO_side0_rm_ruanmei_164|I probably will. Records indicate likes this Occurrence.
VO_side0_rm_ruanmei_165|Come along, I'll see you out.
VO_side0_rm_ruanmei_166|It appears I was overthinking things. Impulsive behavior is pretty characteristic of her after all.
VO_side0_rm_ruanmei_167|Thankfully, it was just a minor scare. Still, meetings give me such a headache... It seems I'll have to stay put for a while.
VO_side0_rm_ruanmei_168|I see that you've recovered the lifeform in the master control zone. Thank you, well done.
VO_side0_rm_ruanmei_169|I was simply being overly cautious. It is a habit of mine. Apologies.
VO_side0_rm_ruanmei_170|No. You misunderstand. While Herta is tied up in meetings, you might find it more convenient to roam the space station.
VO_side0_rm_ruanmei_171|There are some things that I must tell you now. If I wait for the meeting to finish... then it might be too late.
VO_side0_rm_ruanmei_172|The retrieval of my lifeforms isn't complete yet. There's more than just one, and some are stored in a sealed zone.
VO_side0_rm_ruanmei_173|Herta uses that place to welcome visitors from across the stars, or to welcome members of the Genius Society. However, due to the Legion's invasion, it is no longer open to the public.
VO_side0_rm_ruanmei_174|And now my "headache" is stored there.
VO_side0_rm_ruanmei_175|There's much you don't know about the space station, and even more about Herta.
VO_side0_rm_ruanmei_176|But there is some information I can give you. That place is also used to welcome non-humanoid visitors and has a shuttle that connects to outer space.
VO_side0_rm_ruanmei_177|She gave me permission and said no more.
VO_side0_rm_ruanmei_178|I'm giving you my access card. Give me your hand, and I'll input your fingerprint into it.
VO_side0_rm_ruanmei_179|Stay vigilant. Should you come across a threat you can't handle, just alert me. I'll come to your aid, no matter what.
VO_side0_rm_ruanmei_180|Remember, there is a giant... incubator... in the middle of the zone. That's where my "headache" is stored.
VO_side0_rm_ruanmei_181|Once you're back, come find me on the railway platform. Then you'll understand everything.
VO_side0_rm_ruanmei_208|The meeting of geniuses is over. As for the future of the Simulated Universe... That conclusion isn't important. What's important is your task.
VO_side0_rm_ruanmei_209|You look... upset, correct? I regret my actions. There's no defending what I've done. Time and again, my experiments have fallen short, and they've always yielded predictable results.
VO_side0_rm_ruanmei_210|I made a clone, but it... doesn't hold a candle to the Emanator.
VO_side0_rm_ruanmei_211|Exactly as predicted: 56 seconds, on the dot.
VO_side0_rm_ruanmei_212|How should I have explained it to you? I'm not good at communicating with others...
VO_side0_rm_ruanmei_213|Restrained by time and place, its code of life could only be considered an incomplete attempt. I managed to replicate the moment it was born, however, it would soon disappear and be reduced to particles.
VO_side0_rm_ruanmei_214|Like every living being, it inevitably faced its demise as it journeyed towards the end — I find no fault in that.
VO_side0_rm_ruanmei_215|However, even the briefest life should have meaning. I want to know the limits of its capacity. It will indicate how far I've gone in a field completely incomprehensible to me.
VO_side0_rm_ruanmei_216|Haha, and it was "a minuscule step" — just as I had predicted.
VO_side0_rm_ruanmei_217|I did say that if a danger proved too great for you, I would personally step in to confront it.
VO_side0_rm_ruanmei_218|Indeed, this is how I keep the distractions at bay. I have to admit that research once made me obsessive — that wasn't a good period in my life, though I now navigate it much more smoothly.
VO_side0_rm_ruanmei_219|I do not have a life outside of research. People always think this price is unimaginable, but it seems rather acceptable to me.
VO_side0_rm_ruanmei_220|I must admit, I'm not fond of scenarios where everything aligns perfectly with my expectations. An experiment should have its unforeseen twists.
VO_side0_rm_ruanmei_221|That's where the joy lies. Even the most predictable storylines can have their pleasant surprises.
VO_side0_rm_ruanmei_222|I have to admit that these little ones born in the process... sometimes move me.
VO_side0_rm_ruanmei_223|I see a human-like response in them. It is a concept completely opposite to that of divinity — they have emotions.
VO_side0_rm_ruanmei_224|Emotions may be either positive or negative. However, the love rooted in the depths of their heart is eternal and unchanging.
VO_side0_rm_ruanmei_225|They are still a long way from becoming geniuses and are therefore unable to discern whether this love is one of friendship, romance, or familial love.
VO_side0_rm_ruanmei_226|That being said, can even geniuses tell the difference? I cannot, at least... I do not understand what "love" is and cannot respond to their feelings.
VO_side0_rm_ruanmei_227|do you believe my actions were wrong?
VO_side0_rm_ruanmei_228|There is no need to tell me your answer. I just... felt like asking the question. How should I take care of them? Perhaps leaving them at the space station is the best choice.
VO_side0_rm_ruanmei_229|Do I seem irresponsible? I'm sorry. I am often at a loss as to how to face my own creations.
VO_side0_rm_ruanmei_230|The effects of the Anti-Truth Serum will also wear off. If others mention me to you in the future, you can answer however you like, or even pretend you never knew me.
VO_side0_rm_ruanmei_231|After all, your memory of me will soon dissipate like smoke.
VO_side0_rm_ruanmei_232|Over time, hidden truths tend to surface. Past traumas, which I'd rather leave behind, have made me skeptical about trusting anyone but myself.
VO_side0_rm_ruanmei_233|If I do not want a secret revealed, the most foolproof way is to destroy it. The Anti-Truth Serum will make you forget the brief period we spent together.
VO_side0_rm_ruanmei_234|It won't take effect immediately. It is a slow, intangible process — like the sweet fragrance of lotus leaves, plum blossom, sticky rice, and frosting sugar.
VO_side0_rm_ruanmei_235|Perhaps you will remember someone performed selfish experiments on the space station, but you will no longer remember their identity. Perhaps we will meet again someday, but you won't be able to connect me with the recollection.
VO_side0_rm_ruanmei_236|That way, the connection between lifeforms will be erased. Friendships, secrets, grudges, lies, all will disappear.
VO_side0_rm_ruanmei_237|It will make our lives... more relaxing.
VO_side0_rm_ruanmei_238|Thank you.
VO_side0_rm_ruanmei_239|I believe you.
VO_side0_rm_ruanmei_240|Screwllum will stay on the space station for a while longer. He and Herta still have problems they need to solve. As for me, I'm leaving soon and won't bother with goodbyes.
VO_side0_rm_ruanmei_241|Do you still remember the "No Man's Land" I mentioned? I'm considering a solo trip back there during my research downtime, just to see how things are.



